,Date,Open,High,Low,Close
927,10/13/2016,2130.26,2138.19,2114.74,2132.55
928,10/14/2016,2139.68,2149.19,2132.98,2132.98
929,10/17/2016,2132.95,2135.61,2124.43,2126.50
930,10/18/2016,2138.31,2144.38,2135.49,2139.60
931,10/19/2016,2140.81,2148.44,2138.15,2144.29
932,10/20/2016,2142.51,2147.18,2133.44,2141.34
933,10/21/2016,2139.43,2142.63,2130.09,2141.16
934,10/24/2016,2148.50,2154.79,2146.91,2151.33
935,10/25/2016,2149.72,2151.44,2141.93,2143.16
936,10/26/2016,2136.97,2145.73,2131.59,2139.43
937,10/27/2016,2144.06,2147.13,2132.52,2133.04
938,10/28/2016,2132.23,2140.72,2119.36,2126.41
939,10/31/2016,2129.78,2133.25,2125.53,2126.15
940,11/01/2016,2128.68,2131.45,2097.85,2111.72
941,11/02/2016,2109.43,2111.76,2094.00,2097.94
942,11/03/2016,2098.80,2102.56,2085.23,2088.66
943,11/04/2016,2083.79,2099.07,2083.79,2085.18
944,11/07/2016,2100.59,2132.00,2100.59,2131.52
945,11/08/2016,2129.92,2146.87,2123.56,2139.56
946,11/09/2016,2131.56,2170.10,2125.35,2163.26
947,11/10/2016,2167.49,2182.30,2151.17,2167.48
948,11/11/2016,2162.71,2165.92,2152.49,2164.45
949,11/14/2016,2165.64,2171.36,2156.08,2164.20
950,11/15/2016,2168.29,2180.84,2166.38,2180.39
951,11/16/2016,2177.53,2179.22,2172.20,2176.94
952,11/17/2016,2178.61,2188.06,2176.65,2187.12
953,11/18/2016,2186.85,2189.89,2180.38,2181.90
954,11/21/2016,2186.43,2198.70,2186.43,2198.18
955,11/22/2016,2201.56,2204.80,2194.51,2202.94
956,11/23/2016,2198.55,2204.72,2194.51,2204.72
957,11/25/2016,2206.27,2213.35,2206.27,2213.35
958,11/28/2016,2210.21,2211.14,2200.36,2201.72
959,11/29/2016,2200.76,2210.46,2198.15,2204.66
960,11/30/2016,2204.97,2214.10,2198.81,2198.81
961,12/01/2016,2200.17,2202.60,2187.44,2191.08
962,12/02/2016,2191.12,2197.95,2188.37,2191.95
963,12/05/2016,2200.65,2209.42,2199.97,2204.71
964,12/06/2016,2207.26,2212.78,2202.21,2212.23
965,12/07/2016,2210.72,2241.63,2208.93,2241.35
966,12/08/2016,2241.13,2251.69,2237.57,2246.19
967,12/09/2016,2249.73,2259.80,2249.23,2259.53
968,12/12/2016,2258.83,2264.03,2252.37,2256.96
969,12/13/2016,2263.32,2277.53,2263.32,2271.72
970,12/14/2016,2268.35,2276.20,2248.44,2253.28
971,12/15/2016,2253.77,2272.12,2253.77,2262.03
972,12/16/2016,2266.81,2268.05,2254.24,2258.07
973,12/19/2016,2259.24,2267.47,2258.21,2262.53
974,12/20/2016,2266.50,2272.56,2266.14,2270.76
975,12/21/2016,2270.54,2271.23,2265.15,2265.18
976,12/22/2016,2262.93,2263.18,2256.08,2260.96
977,12/23/2016,2260.25,2263.79,2258.84,2263.79
978,12/27/2016,2266.23,2273.82,2266.15,2268.88
979,12/28/2016,2270.23,2271.31,2249.11,2249.92
980,12/29/2016,2249.50,2254.51,2244.56,2249.26
981,12/30/2016,2251.61,2253.58,2233.62,2238.83
982,01/03/2017,2251.57,2263.88,2245.13,2257.83
983,01/04/2017,2261.60,2272.82,2261.60,2270.75
984,01/05/2017,2268.18,2271.50,2260.45,2269.00
985,01/06/2017,2271.14,2282.10,2264.06,2276.98
986,01/09/2017,2273.59,2275.49,2268.90,2268.90
987,01/10/2017,2269.72,2279.27,2265.27,2268.90
988,01/11/2017,2268.60,2275.32,2260.83,2275.32
989,01/12/2017,2271.14,2271.78,2254.25,2270.44
990,01/13/2017,2272.74,2278.68,2271.51,2274.64
991,01/17/2017,2269.14,2272.08,2262.81,2267.89
992,01/18/2017,2269.14,2272.01,2263.35,2271.89
993,01/19/2017,2271.90,2274.33,2258.41,2263.69
994,01/20/2017,2269.96,2276.96,2265.01,2271.31
995,01/23/2017,2267.78,2271.78,2257.02,2265.20
996,01/24/2017,2267.88,2284.63,2266.68,2280.07
997,01/25/2017,2288.88,2299.55,2288.88,2298.37
998,01/26/2017,2298.63,2300.99,2294.08,2296.68
999,01/27/2017,2299.02,2299.02,2291.62,2294.69
1000,01/30/2017,2286.01,2286.01,2268.04,2280.90
1001,01/31/2017,2274.02,2279.09,2267.21,2278.87
1002,02/01/2017,2285.59,2289.14,2272.44,2279.55
1003,02/02/2017,2276.69,2283.97,2271.65,2280.85
1004,02/03/2017,2288.54,2298.31,2287.88,2297.42
1005,02/06/2017,2294.28,2296.18,2288.57,2292.56
1006,02/07/2017,2295.87,2299.40,2290.16,2293.08
1007,02/08/2017,2289.55,2295.91,2285.38,2294.67
1008,02/09/2017,2296.70,2311.08,2296.61,2307.87
1009,02/10/2017,2312.27,2319.23,2311.10,2316.10
1010,02/13/2017,2321.72,2331.58,2321.42,2328.25
1011,02/14/2017,2326.12,2337.58,2322.17,2337.58
1012,02/15/2017,2335.58,2351.30,2334.81,2349.25
1013,02/16/2017,2349.64,2351.31,2338.87,2347.22
1014,02/17/2017,2343.01,2351.16,2339.58,2351.16
1015,02/21/2017,2354.91,2366.71,2354.91,2365.38
1016,02/22/2017,2361.11,2365.13,2358.34,2362.82
