iShares Core S&P 500 ETF
Fund Holdings as of,"Nov 07, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"813,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","774,754,635.20","0.22","774,754,635.20","10,642,234.00","72.80","United States","NASDAQ","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","747,652,854.48","0.21","747,652,854.48","4,472,678.00","167.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","742,303,318.20","0.21","742,303,318.20","3,495,495.00","212.36","United States","NASDAQ","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","742,210,903.92","0.21","742,210,903.92","14,226,776.00","52.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","740,007,402.08","0.21","740,007,402.08","5,029,616.00","147.13","United States","NASDAQ","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","737,794,083.72","0.21","737,794,083.72","1,478,486.00","499.02","United States","NASDAQ","USD","1.00","USD","-"
"SLB","SCHLUMBERGER NV","Energy","Equity","736,421,010.81","0.21","736,421,010.81","13,808,757.00","53.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","728,171,551.20","0.20","728,171,551.20","10,596,210.00","68.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","721,918,258.02","0.20","721,918,258.02","2,818,782.00","256.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","719,387,199.36","0.20","719,387,199.36","2,971,692.00","242.08","United States","NASDAQ","USD","1.00","USD","-"
"FI","FISERV INC","Financials","Equity","706,115,758.53","0.20","706,115,758.53","5,923,293.00","119.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","698,504,896.27","0.20","698,504,896.27","17,242,777.00","40.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","693,819,611.52","0.19","693,819,611.52","5,657,368.00","122.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","689,134,184.00","0.19","689,134,184.00","909,148.00","758.00","United States","NASDAQ","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","682,229,392.26","0.19","682,229,392.26","6,896,082.00","98.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","670,043,333.29","0.19","670,043,333.29","2,640,773.00","253.73","United States","NASDAQ","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","668,573,726.40","0.19","668,573,726.40","7,488,505.00","89.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","668,399,951.20","0.19","668,399,951.20","1,328,510.00","503.12","United States","NASDAQ","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","646,319,307.00","0.18","646,319,307.00","1,381,910.00","467.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","643,254,974.46","0.18","643,254,974.46","1,971,119.00","326.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
